metric,index,mean,std
time (transpose_{'n_semitones': 12}),0,1.6433757131749933,4.693507038913031
time (transpose_{'n_semitones': 12}),1,0.06435374346646396,0.13645808204678334
time (transpose_{'n_semitones': 12}),2,0.05453110608187589,0.029064824845271564
time (transpose_{'n_semitones': 12}),3,0.17922778563065964,0.29196790920453086
time (transpose_{'n_semitones': 12}),4,0.2626280134374445,0.18119608729405992
time (transpose_{'n_semitones': 12}),5,0.5688518740914085,0.40631984192825066
time (transpose_{'n_semitones': 12}),6,0.49519246274774725,0.32443352322886554
time (transpose_{'n_semitones': 12}),7,0.5317991386760365,0.3663115780355162
time (transpose_{'n_semitones': 12}),8,0.5526180223985152,0.39095224757886055
time (transpose_{'n_semitones': 12}),9,0.5623810768127442,0.40166068273407873
time (transpose_{'n_semitones': 12}),10,0.022115950150923297,0.013012304621174559
time (transpose_{'n_semitones': 12}),11,0.5987918810410933,0.4480009901163893
time (transpose_{'n_semitones': 12}),12,0.014476212588223543,0.0054557864956183534
time (transpose_{'n_semitones': 12}),13,0.3848249435424805,0.2476961505570548
time (transpose_{'n_semitones': 12}),14,0.007396671988747336,0.001144315165458943
time (transpose_{'n_semitones': 12}),15,0.008101328936490146,0.004108827889808272
time (transpose_{'n_semitones': 12}),16,0.008040584217418325,0.0011796662481162509
accuracy (train) (transpose_{'n_semitones': 12}),0,0.9513093931636631,0.18546861972823958
accuracy (train) (transpose_{'n_semitones': 12}),1,0.9029751826013988,0.1820340603105658
accuracy (train) (transpose_{'n_semitones': 12}),2,0.9143780846285825,0.1824037632762267
accuracy (train) (transpose_{'n_semitones': 12}),3,0.9255209891651758,0.18326226941785795
accuracy (train) (transpose_{'n_semitones': 12}),4,0.9432664876654837,0.18486365750192194
accuracy (train) (transpose_{'n_semitones': 12}),5,0.9999861284626652,5.2078875238520655e-05
accuracy (train) (transpose_{'n_semitones': 12}),6,0.9713970944684218,0.031185342953150435
accuracy (train) (transpose_{'n_semitones': 12}),7,0.9893184137794154,0.01448938395961603
accuracy (train) (transpose_{'n_semitones': 12}),8,0.9971356828203416,0.00513429157213405
accuracy (train) (transpose_{'n_semitones': 12}),9,0.9996758896393988,0.0008333774139120047
accuracy (train) (transpose_{'n_semitones': 12}),10,1.0,0.0
accuracy (train) (transpose_{'n_semitones': 12}),11,1.0,0.0
accuracy (train) (transpose_{'n_semitones': 12}),12,0.8372578975537855,0.1115443372817872
accuracy (train) (transpose_{'n_semitones': 12}),13,0.8808496318600015,0.08627162883825354
accuracy (train) (transpose_{'n_semitones': 12}),14,0.8545538403742464,0.11499509528674594
accuracy (train) (transpose_{'n_semitones': 12}),15,0.11322052116976032,0.0881182624055349
accuracy (train) (transpose_{'n_semitones': 12}),16,0.2922092137685985,0.09812436446798076
accuracy (test) (transpose_{'n_semitones': 12}),0,0.9117048195951638,0.18425594184382585
accuracy (test) (transpose_{'n_semitones': 12}),1,0.8921644284226949,0.18310981784214272
accuracy (test) (transpose_{'n_semitones': 12}),2,0.8977735423308818,0.18237747470974633
accuracy (test) (transpose_{'n_semitones': 12}),3,0.9034208466602833,0.18331952238564
accuracy (test) (transpose_{'n_semitones': 12}),4,0.9092919109282559,0.18431060145225364
accuracy (test) (transpose_{'n_semitones': 12}),5,0.9475024881302039,0.04645165531784923
accuracy (test) (transpose_{'n_semitones': 12}),6,0.9429523875340171,0.051913627269248495
accuracy (test) (transpose_{'n_semitones': 12}),7,0.9474714690008531,0.0472352118792263
accuracy (test) (transpose_{'n_semitones': 12}),8,0.9487968430272063,0.042191399919410344
accuracy (test) (transpose_{'n_semitones': 12}),9,0.9474578654510741,0.04646144029697565
accuracy (test) (transpose_{'n_semitones': 12}),10,0.9399928465814242,0.04275920254284491
accuracy (test) (transpose_{'n_semitones': 12}),11,0.9235580398138454,0.0668901086440637
accuracy (test) (transpose_{'n_semitones': 12}),12,0.8391913618948611,0.10645676255612076
accuracy (test) (transpose_{'n_semitones': 12}),13,0.8800620983587518,0.09167888170617827
accuracy (test) (transpose_{'n_semitones': 12}),14,0.8584968857201353,0.11523065451635611
accuracy (test) (transpose_{'n_semitones': 12}),15,0.11002439599658546,0.0863484419624267
accuracy (test) (transpose_{'n_semitones': 12}),16,0.2896741434675056,0.09762059284137338
precision macro (train) (transpose_{'n_semitones': 12}),0,0.919898652127869,0.1930442802812715
precision macro (train) (transpose_{'n_semitones': 12}),1,0.7488935966406717,0.21869338363486585
